INSTNM,Latitude,Longitude,ZIP,,,
University of Maryland Baltimore,39.2891741,-76.6261134,21201-1627,,,
SUNY College of Optometry,40.7544085,-73.982243,10036-8003,,,
Colgate University,42.8155894,-75.5407355,13346-1398,,,
California State University-Long Beach,33.7838235,-118.1140904,90840-0115,,,
Methodist College,41.36002076,-89.11176023,61615,,,", "
Creighton University,41.2655521,-95.9463862,68178,,,
Chamberlain University-Indiana,41.880818,-87.64077,46240,,,
Barnard College,40.8095133,-73.9633969,10027-6598,,,
University of Minnesota-Twin Cities,44.97399,-93.2277285,55455-0213,,,
University of Illinois Urbana-Champaign,40.1019523,-88.2271615,61820-5711,,,
Baylor University,31.5500848,-97.11354,76798,,,
Loyola University Maryland,39.3476737,-76.6172375,21210-2699,,,
Illinois Institute of Technology,41.8348731,-87.6270059,60616,,,
Wagner College,40.6149557,-74.0943823,10301-4495,,,
Widener University,39.8615619,-75.3576386,19013-5792,,,
The College of New Jersey,40.268479,-74.7776333,08628-7718,,,
Adelphi University,40.73243807,-73.65265595,11530-0701,,,", "
Atlanta's John Marshall Law School,33.7611653,-84.3856723,30303,,,
Miami Ad School-Minneapolis,44.977753,-93.2650108,55401,,,
Miami Ad School,25.8088287,-80.1907757,33137,,,
Roger Williams University,41.6511285,-71.2598636,02809-2921,,,
University of California-Santa Cruz,36.9905322,-122.0584354,95064-1011,,,
Indiana University-Bloomington,39.1682449,-86.5230073,47405-7000,,,
Holy Name Medical Center-Sister Claire Tynan School of Nursing,40.8830115,-74.0102984,7632,,,
CUNY Bernard M Baruch College,40.7404315,-73.9832252,10010,,,
California State University-Northridge,34.2406756,-118.5300196,91330,,,
Lawrence Technological University,42.4751235,-83.2507416,48075-1058,,,
University of Massachusetts-Lowell,42.6552587,-71.3247164,1854,,,
University of Denver,39.6748442,-104.9652808,80208,,,
The University of Tennessee-Knoxville,35.9544013,-83.9294564,37996,,,
Chamberlain University-Louisiana,29.9627162,-90.152763,70121,,,
Roxborough Memorial Hospital School of Nursing,40.0548134,-75.2420722,19128,,,
University of Redlands,34.0627062,-117.1632608,92373-0999,,,
Unitek College,37.50915257,121.9616416,94538,,,", -"
University of Kansas,38.9543439,-95.2557961,66045,,,
The University of Texas MD Anderson Cancer Center,29.7070421,-95.3971211,77030-4009,,,
Valencia College,28.5213883,-81.4648355,32835,,,
Ohio Northern University,40.7656634,-83.8328481,45810-1599,,,
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Imaging,40.60606485,74.40360504,7061,,,", -"
Emory University-Oxford College,33.6208822,-83.8675432,30054,,,
Scripps College,34.1039266,-117.7101745,91711-3905,,,
Elon University,36.1003405,-79.5066084,27244-2010,,,
Azusa Pacific University,34.1300755,-117.8883593,91702-7000,,,
Medical University of South Carolina,32.7834496,-79.9460262,29425,,,
Mount Saint Mary's University,39.6799914,-77.3486971,90049-1599,,,
Suffolk University,42.3578508,-71.0611037,02108-3901,,,
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,40.6059427,-74.4044097,7060,,,
Boston Architectural College,42.3479568,-71.0859315,02115-2703,,,
Ohio University-Main Campus,39.324358,-82.1013889,45701-2979,,,
Brigham Young University,40.2518435,-111.6493156,84602,,,
American Public University System,39.29176569,-77.86164611,25414,,,", "
Oregon Institute of Technology,42.2553852,-121.7852487,97601-8801,,,
Lawrence Memorial Hospital School of Nursing,42.4266154,-71.1113329,2155,,,
College of the Holy Cross,42.2392391,-71.8079608,01610-2395,,,
Linfield University,45.2006802,-123.1993365,97128-6894,,,
SUNY Maritime College,40.8074244,-73.796808,10465-4198,,,
University of Nevada-Las Vegas,36.107496,-115.1435252,89154,,,
University of Houston,29.7199489,-95.3422334,77204-2018,,,
Saint Johns University,40.7201737,-73.7978908,56321,,,
New Jersey Institute of Technology,40.7424259,-74.1784006,7102,,,
Louisiana State University Health Sciences Center-Shreveport,32.480598,-93.760668,71103,,,
University of North Carolina at Charlotte,35.3070929,-80.735164,28223-0001,,,
Western New England University,42.116076,-72.5198801,01119-2684,,,
University of Massachusetts Global,33.6564199,-117.7691303,92618,,,
Drake University,41.6030995,-93.6546481,50311-4505,,,
Muhlenberg College,40.5981933,-75.5081076,18104,,,
University of Richmond,37.5758243,-77.5397192,23173,,,
Golden Gate University-Los Angeles,34.0494692,-118.2607851,900000000,,,
Rhode Island School of Design,41.8270818,-71.4092975,02903-2784,,,
Chamberlain University-Florida,27.6648274,-81.5157535,32256,,,
Amherst College,42.3709104,-72.5170028,01002-5000,,,
Franklin and Marshall College,40.04874,-76.3199261,17604-3003,,,
Washington & Jefferson College,40.1706389,-80.2402969,15301,,,
Miami Ad School-Atlanta,33.8395381,-84.3812758,30309,,,
Wesleyan University,41.5567587,-72.6568336,6459,,,
New York Law School,40.7180455,-74.0069152,10013-2921,,,
The University of Texas Health Science Center at San Antonio,29.5074654,-98.5753521,78229-3900,,,
Florida State University,30.4418778,-84.2984889,32306-1037,,,
Mount Saint Mary's University - Doheny Campus,34.0297732,-118.2785079,90007,,,
Manhattan College,40.8900515,-73.9011239,10471-4098,,,
Washington State University,46.7295265,-117.1803059,99164-5910,,,
California State University-Chico,39.7296653,-121.8478871,95929-0150,,,
Capella University,44.976168,-93.2685809,55402-3389,,,
James Madison University,38.435092,-78.8697548,22807,,,
Ithaca College,42.4199229,-76.4969344,14850-7002,,,
University of Nebraska-Lincoln,40.813616,-96.7025955,68588-0419,,,
Utah Valley University,40.2787626,-111.7153739,84058-5999,,,
Pennsylvania College of Health Sciences,40.060351,-76.246976,17601,,,
The New School,40.7354925,-73.9971361,10011,,,
Endicott College,42.5535151,-70.8436261,1915,,,
University of California-Riverside,33.9737055,-117.3280644,92521,,,
William & Mary,37.2709753,-76.7162467,23187-8795,,,
Bon Secours Memorial College of Nursing,37.6468058,-77.4330528,23227-1149,,,
Saint Elizabeth College of Nursing,43.0827994,-75.2679433,13501,,,
Northern Arizona University,35.1802684,-111.6540336,86011-4092,,,
Illinois State University,40.5121009,-88.994763,61790-1000,,,
University of California-Los Angeles,34.0699182,-118.4438495,90095-1405,,,
Aria Health School of Nursing,40.0206818,-75.0831469,19053-6939,,,
University of Illinois Chicago,41.8686034,-87.6484377,60607,,,
Vaughn College of Aeronautics and Technology,40.7678484,-73.8824404,11369,,,
South Dakota School of Mines and Technology,44.0730941,-103.2062801,57701-3995,,,
California State University-East Bay,37.6560295,-122.0561984,94542,,,
Stony Brook University,40.908119,-73.1204032,11794-0701,,,
Illinois Wesleyan University,40.4908891,-88.9906541,61702-2900,,,
Carleton College,44.4613633,-93.1559742,55057,,,
North Carolina State University at Raleigh,35.7850744,-78.6812824,27695-7001,,,
University of Massachusetts-Amherst,42.3867598,-72.5300515,1003,,,
University of Oregon,44.0448302,-123.0726055,97403,,,
Dickinson College,40.2027462,-77.2008334,17013-2896,,,
University of Washington-Bothell Campus,47.7589719,-122.190707,98011-8246,,,
University of Georgia,33.9566656,-83.375192,30602,,,
Savannah College of Art and Design,32.0691097,-81.0938141,31402-3146,,,
Virginia Military Institute,37.7909313,-79.4351978,24450-0304,,,
Wofford College,34.9590202,-81.9351358,29303-3663,,,
Old Dominion University,36.8853217,-76.3058786,23529,,,
Jersey College,40.862236,-74.0577697,7608,,,
Denver College of Nursing,39.7529911,-104.9946478,80202,,,
Miami University-Oxford,39.5087485,-84.7344915,45056,,,
University of Nevada-Reno,39.5437205,-119.8141582,89557,,,
Thomas Edison State University,40.220262,-74.768303,8608,,,
Saint Anthony College of Nursing - Highland Community College Campus,42.2827894,-89.6732544,610000000,,,
Saint Anthony College of Nursing - Sauk Valley Community College Campus,42.3101212,-88.9920492,610000000,,,
Gwynedd Mercy University,40.1979262,-75.2368884,19437-0901,,,
Covenant School of Nursing and Allied Health,33.5757996,-101.9377518,79407,,,
University of Puget Sound,47.2617495,-122.4814442,98416,,,
John Carroll University,41.4905602,-81.5297689,44118-4538,,,
Western Michigan University,42.2837337,-85.6102506,49008-5200,,,
Virginia Polytechnic Institute and State University,37.2283843,-80.4234167,24061-0131,,,
